episode,timesteps,wall_clock_s,episode_reward,episode_length,collisions,lap_completed
323,73236,1818.62,-10.170,317,1,0
324,73788,1869.11,-11.420,342,1,0
325,73818,1869.71,-11.470,347,1,0
326,74772,1888.57,-11.180,318,1,0
327,74844,1890.03,-10.560,356,1,0
328,74862,1890.43,-10.970,297,1,0
329,75294,1899.54,-11.430,343,1,0
330,75480,1903.41,-8.770,277,1,0
331,75798,1909.92,-10.350,335,1,0
332,76614,1926.33,-10.920,292,1,0
333,76632,1926.75,-17.100,310,1,0
334,76890,1932.05,-11.410,341,1,0
335,77304,1940.48,-11.350,335,1,0
336,77616,1946.78,-11.560,356,1,0
337,77766,1949.83,-9.280,328,1,0
338,78504,1965.24,-9.690,269,1,0
339,78522,1965.65,-9.150,315,1,0
340,78564,1966.55,-12.250,325,1,0
341,79506,1986.09,-10.670,367,1,0
342,79686,1989.89,-12.450,345,1,0
343,79920,1994.69,-10.590,359,1,0
344,80442,2005.33,-10.230,323,1,0
345,80586,2008.28,-10.440,344,1,0
346,80652,2009.65,-10.480,348,1,0
347,81510,2028.26,-10.340,334,1,0
348,81516,2028.43,-11.050,305,1,0
349,81954,2037.81,-10.390,339,1,0
350,82530,2052.02,-11.480,348,1,0
351,82542,2052.33,-9.260,326,1,0
352,82914,2060.32,-12.770,377,1,0
353,83532,2073.50,-10.370,337,1,0
354,83598,2074.97,-9.470,347,1,0
355,83964,2083.20,-9.350,335,1,0
356,84408,2094.14,-9.110,311,1,0
357,84426,2094.58,-10.160,316,1,0
358,85014,2107.56,-10.500,350,1,0
359,85470,2117.99,-10.120,312,1,0
360,85578,2120.52,-9.410,341,1,0
361,85836,2126.42,-11.120,312,1,0
362,86214,2173.63,-11.010,301,1,0
363,86448,2178.38,-10.370,337,1,0
364,86988,2188.93,-10.290,329,1,0
365,87270,2194.63,-9.000,300,1,0
366,87618,2201.62,-8.970,297,1,0
367,87738,2204.12,-9.600,360,1,0
368,87990,2209.11,-9.960,296,1,0
369,88674,2222.73,-9.710,371,1,0
370,88692,2223.13,-10.840,284,1,0
371,88968,2228.48,-9.830,283,1,0
372,89664,2242.01,-11.410,341,1,0
373,89706,2242.93,-10.280,328,1,0
374,89994,2248.50,-11.340,334,1,0
375,90630,2261.22,-10.260,326,1,0
376,90858,2265.71,-11.610,361,1,0
377,91032,2269.20,-10.440,344,1,0
378,91242,2273.28,-9.630,263,1,0
379,91668,2281.72,-10.270,327,1,0
380,92058,2289.44,-10.440,344,1,0
381,92688,2302.00,-10.430,343,1,0
382,92964,2307.47,-9.510,351,1,0
383,93162,2311.34,-10.550,355,1,0
384,93258,2313.22,-11.360,336,1,0
385,93696,2322.47,-9.380,338,1,0
386,93972,2328.22,-9.190,319,1,0
387,94680,2343.34,-11.320,332,1,0
388,95094,2352.31,-10.550,355,1,0
389,95196,2354.54,-9.390,339,1,0
390,95490,2360.82,-10.720,372,1,0
391,95676,2364.93,-11.300,330,1,0
392,95898,2369.74,-12.210,321,1,0
393,96894,2391.67,-10.690,369,1,0
394,97026,2394.52,-10.220,322,1,0
395,97050,2395.09,-11.090,309,1,0
396,97416,2403.15,-9.210,321,1,0
397,97722,2409.77,-11.410,341,1,0
398,97938,2414.48,-14.400,340,1,0
